CustomerKey,GeographyKey,CustomerAlternateKey,Salutation,FirstName,MiddleName,LastName,NameStyle,BirthDate,MaritalStatus,Suffix,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,Phone,DateFirstPurchase
11000,26,AW00011000,,Jon,V,Yang,FALSE,4/8/1966 0:00,M,,M,jon24@adventure-works,90000,2,0,,,1,0,3761 N. 14th St,,1 (11) 500 555-0162,7/22/2001 0:00
11001,37,AW00011001,,Eugene,L,Huang,FALSE,5/14/1965 0:00,S,,M,eugene10@adventure-works.com,60000,3,3,,,0,1,2243 W St.,,1 (11) 500 555-0110,7/18/2001 0:00
11002,31,AW00011002,,Ruben,,Torres,FALSE,8/12/1965 0:00,M,,M,ruben35@adventure-works.com,60000,3,3,,,1,1,5844 Linden Land,,1 (11) 500 555-0184,7/10/2001 0:00
11003,11,AW00011003,,Christy,,Zhu,FALSE,2/15/1968 0:00,S,,F,christy12@adventure-works.com,70000,0,0,,,0,1,1825 Village Pl.,,1 (11) 500 555-0162,7/1/2001 0:00
11004,19,AW00011004,,Elizabeth,,Johnson,FALSE,8/8/1968 0:00,S,,F,elizabeth5@adventure-works.com,80000,5,5,,,1,4,7553 Harness Circle,,1 (11) 500 555-0131,7/26/2001 0:00
11005,22,AW00011005,,Julio,,Ruiz,FALSE,8/5/1965 0:00,S,,M,julio1@adventure-works.com,70000,0,0,,,1,1,7305 Humphrey Drive,,1 (11) 500 555-0151,7/2/2001 0:00
11006,8,AW00011006,,Janet,G,Alvarez,FALSE,12/6/1965 0:00,S,,F,janet9@adventure-works.com,70000,0,0,,,1,1,2612 Berry Dr,,1 (11) 500 555-0184,7/27/2001 0:00
11007,40,AW00011007,,Marco,,Mehta,FALSE,5/9/1964 0:00,M,,M,marco14@adventure-works.com,60000,3,3,,,1,2,942 Brook Street,,1 (11) 500 555-0126,7/12/2001 0:00
11008,32,AW00011008,,Rob,,Verhoff,FALSE,7/7/1964 0:00,S,,F,rob4@adventure-works.com,60000,4,4,,,1,3,624 Peabody Road,,1 (11) 500 555-0164,7/28/2001 0:00
11009,25,AW00011009,,Shannon,C,Carlson,FALSE,4/1/1964 0:00,S,,M,shannon38@adventure-works.com,70000,0,0,,,0,1,3839 Northgate Road,,1 (11) 500 555-0110,7/30/2001 0:00
11010,22,AW00011010,,Jacquelyn,C,Suarez,FALSE,2/6/1964 0:00,S,,F,jacquelyn20@adventure-works.com,70000,0,0,,,0,1,7800 Corrinne Court,,1 (11) 500 555-0169,7/17/2001 0:00
11011,22,AW00011011,,Curtis,,Lu,FALSE,11/4/1963 0:00,M,,M,curtis9@adventure-works.com,60000,4,4,,,1,4,1224 Shoenic,,1 (11) 500 555-0117,7/2/2001 0:00
11012,611,AW00011012,,Lauren,M,Walker,FALSE,1/18/1968 0:00,M,,F,lauren41@adventure-works.com,100000,2,0,,,1,2,4785 Scott Street,,717-555-0164,9/17/2003 0:00
11013,543,AW00011013,,Ian,M,Jenkins,FALSE,8/6/1968 0:00,M,,M,ian47@adventure-works.com,100000,2,0,,,1,3,7902 Hudson Ave.,,817-555-0185,10/15/2003 0:00
11014,634,AW00011014,,Sydney,,Bennett,FALSE,5/9/1968 0:00,S,,F,sydney23@adventure-works.com,100000,3,0,,,0,3,9011 Tank Drive,,431-555-0156,9/24/2003 0:00
11015,301,AW00011015,,Chloe,,Young,FALSE,2/27/1979 0:00,S,,F,chloe23@adventure-works.com,30000,0,0,,,0,1,244 Willow Pass Road,,208-555-0142,7/22/2003 0:00
11016,329,AW00011016,,Wyatt,L,Hill,FALSE,4/28/1979 0:00,M,,M,wyatt32@adventure-works.com,30000,0,0,,,1,1,9666 Northridge Ct.,,135-555-0171,8/13/2003 0:00
11017,39,AW00011017,,Shannon,,Wang,FALSE,6/26/1944 0:00,S,,F,shannon1@adventure-works.com,20000,4,0,,,1,2,7330 Saddlehill Lane,,1 (11) 500 555-0195,7/15/2001 0:00
11018,32,AW00011018,,Clarence,D,Rai,FALSE,10/9/1944 0:00,S,,M,clarence32@adventure-works.com,30000,2,0,,,1,2,244 Rivewview,,1 (11) 500 555-0137,7/20/2001 0:00
11019,52,AW00011019,,Luke,L,Lal,FALSE,3/7/1978 0:00,S,,M,luke18@adventure-works.com,40000,0,0,,,0,2,7832 Landing Dr,,262-555-0112,8/16/2003 0:00
11020,53,AW00011020,,Jordan,C,King,FALSE,9/20/1978 0:00,S,,M,jordan73@adventure-works.com,40000,0,0,,,0,2,7156 Rose Dr.,,550-555-0163,7/2/2003 0:00
11021,536,AW00011021,,Destiny,,Wilson,FALSE,9/3/1978 0:00,S,,F,destiny7@adventure-works.com,40000,0,0,,,0,1,8148 W. Lake Dr.,,622-555-0158,7/27/2003 0:00
11022,609,AW00011022,,Ethan,G,Zhang,FALSE,10/12/1978 0:00,M,,M,ethan20@adventure-works.com,40000,0,0,,,1,1,1769 Nicholas Drive,,589-555-0185,7/24/2003 0:00
